TARGET_FID,POINT_X,POINT_Y,class_new,h,m,s,u,MIN_depth,MAX_depth,RANGE_depth,MEAN_depth,STD_depth,DIST_NEW,BLOCK10_ID,OVER_LAND,dist_notes,depth_notes,MPA,PLATFORM,NAVIGATION,ANCHORAGE,MILITARY,OTHER,Status,Descriptio,trawlable,rec_fish,outfall,halibut,class_old,mussel.upfront.cost,mussel.yield ,mussel.annual.operating.costs,mussel.annual.profit,mussel.10.year.NPV ,kelp.yield,kelp.annual.operating.cost,kelp.upfront.cost ,kelp.10.year.NPV ,fish.yield,fish.annual.operating.costs,fish.price,fish.annual.revenue,halibut.10.year.NPV ,res_views_8k,res_views_3k,park_view_3k,park_views_8k,TOC.flux ,disease.risk 
2317,-117.1633235,32.46994467,undev,,,,1,-20.79999924,-19.79999924,1,-19.90606012,0.181224025,26564.13281,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2318,-117.1527096,32.46967393,undev,,,,1,-20,-19.89999962,0.100000381,-19.93471049,0.047605209,26978.35156,0,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2319,-117.1420957,32.46940217,undev,,,,1,-20.39999962,-20,0.399999619,-20.19393911,0.13638015,27392.57031,0,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2320,-117.1314819,32.4691294,undev,,,,1,-20.5,-16,4.5,-19.8793386,0.985340099,27806.78906,0,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2321,-117.1208681,32.46885563,undev,,,,1,-17.79999924,-0.100000001,17.69999924,-4.698630106,5.149185077,28221.00781,0,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2504,-119.2871081,32.5127963,undev,1,,,,-97.59999847,-91.19999695,6.400001526,-93.88181831,1.55796177,178177.9471,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2505,-119.276484,32.51272788,undev,0.998742998,0.00125704,,,-93.09999847,-86.90000153,6.199996948,-90.26180485,1.509736719,177227.8434,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2506,-119.26586,32.51265844,undev,0.983977973,0.016022,,,-89.5,-88.19999695,1.300003052,-88.88472218,0.328574016,176647.4734,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2507,-119.2552359,32.51258799,undev,0.64370501,0.35629499,,,-94.09999847,-88.19999695,5.900001526,-89.10151487,0.819921103,176232.5685,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2508,-119.2446119,32.51251653,undev,0.0889927,0.911006987,,,-92.19999695,-89.5,2.699996948,-91.20694462,0.781971794,175809.2336,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2509,-119.2339879,32.51244405,undev,0.009350472,0.726638019,0.264011424,,-91.90000153,-89.19999695,2.700004578,-90.46893917,0.485101857,175234.4092,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2510,-119.223364,32.51237056,undev,0.0565425,0.052439202,0.891017848,,-90.19999695,-89,1.199996948,-89.5215274,0.231590377,174752.4196,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2511,-119.21274,32.51229606,undev,0.243214102,0.088405199,0.668380595,,-96.5,-85,11.5,-90.32196958,1.926541837,174338.2468,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2512,-119.2021161,32.51222055,undev,0.054848083,0.744333982,0.200817884,,-96.90000153,-90.09999847,6.800003052,-95.52777794,1.393808066,173924.074,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2694,-117.269161,32.48162605,undev,,,,1,-88.09999847,-62,26.09999847,-71.72727305,6.680592668,23927.98281,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2695,-117.2585452,32.48136539,undev,,,,1,-64.19999695,-59.20000076,4.999996185,-60.13472223,1.051805231,23513.77324,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2696,-117.2479294,32.48110372,undev,,,,1,-60.79999924,-58.70000076,2.099998474,-59.33257577,0.346518452,23099.56416,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2697,-117.2373137,32.48084104,undev,,,,1,-60.70000076,-57.70000076,3,-59.09930547,0.628655531,22778.55234,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2698,-117.2266981,32.48057734,undev,,,,1,-59,-50.29999924,8.700000763,-54.6924244,2.790667057,23078.85381,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2699,-117.2160825,32.48031264,undev,,,,1,-51.70000076,-46,5.700000763,-48.55555556,1.503689016,23493.0627,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
